active_directory_canonical_name,device_type,protection_engine_version,encryption,domain,site_id,firewall_status,knowledge_catalog_date,reinstall_agent_requested,license_status,reinstall_protection_requested,last_connection_date,agent_version,reboot_requested,mac_addresses,type,site_name,operating_system,custom_group_folder_path,device_id,last_connection,protection_engine_update_status,host_name,security_configuration_id,knowledge_catalog_update_status,security_configuration_name,adaptive_defense_status,account_id,ip_address,isolation_state,logged_on_users_list,accumulated_protection_status,platform_id,file_antivirus_status
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AITS25A1NB0340,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:17:27.24Z,1.24.02.0000,False,"['BC:CD:99:C7:B8:4C', 'BC:CD:99:C7:B8:48', 'C4:D6:D3:7A:06:07']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,25b2268b-2d7c-4200-96f2-5ca83575808f,2025-11-18T06:17:27.24Z,1,AITS25A1NB0340,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.49,0,['AAPICO\\settha.p'],1,1,1
aapico.com\Managed Desktop\Domestic\Null\AH19ITNB0260,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:07:20.713Z,1.24.02.0000,False,"['EC:5C:68:95:65:E8', 'EC:5C:68:95:65:E7', 'E4:54:E8:0F:1A:C7']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,e8d796ec-b2f9-449b-83fe-485ad3329242,2025-11-18T06:07:20.713Z,1,AH19ITNB0260,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.17,0,['AAPICO\\udjima.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\QA & QC\ALQAPC106,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:05:28.181Z,1.24.02.0000,False,['B0:83:FE:5B:4C:88'],1,AAPICO HITECH PCL,Windows 10 Pro 64 (21H2),All\AAPICO\AL,f8092a79-8e15-4413-b39a-1cdfe7b24c50,2025-11-18T06:05:28.181Z,2,ALQAPC106,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.19,0,['AAPICO\\wararat.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH25ITPC1360,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:50:06.063Z,1.24.02.0000,False,"['18:3D:2D:1C:B6:1D', 'AC:45:EF:70:15:98', 'AC:45:EF:70:15:9C']",1,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,7a7f0a1e-39de-4c03-a0a9-3dd3b37c2a44,2025-11-18T07:50:06.063Z,2,AH25ITPC1360,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.28,0,['AAPICO\\wimonrat.k'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH25ITNB1480,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:19:28.334Z,1.24.02.0000,False,"['84:BA:59:CD:C6:48', '90:10:57:08:EB:43']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,fed6efe9-3d9e-4fd2-a322-2616b2e1ecb7,2025-11-18T07:19:28.334Z,2,AH25ITNB1480,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.54,0,['AAPICO\\sutthisak.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH25ITPC1400,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:40:30.011Z,1.24.02.0000,False,"['18:3D:2D:1C:B8:96', 'AC:45:EF:70:15:B1']",1,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,bd12212a-9de3-4985-a2d4-b01c6248552e,2025-11-18T06:40:30.011Z,2,AH25ITPC1400,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.41,0,['AAPICO\\al.osp'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH25ITPC1330,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:38:01.616Z,1.24.02.0000,False,"['D4:AB:61:AD:55:C5', '18:3D:2D:1C:B9:55']",1,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,211004c6-9a8e-4bad-9a58-1af6abff0ab4,2025-11-18T07:38:01.616Z,2,AH25ITPC1330,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.39,0,['AAPICO\\alpc'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH25ITPC1340,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:45:58.939Z,1.24.02.0000,False,"['D4:AB:61:AC:2B:3B', '18:3D:2D:1C:B4:15', 'D4:AB:61:AC:2B:37']",1,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,c2d3f651-32fc-497e-b00b-50085939573e,2025-11-18T06:45:58.939Z,2,AH25ITPC1340,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.37,0,['AAPICO\\lalida.w'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AH22ITNB0430,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:03:46.29Z,1.24.02.0000,False,"['6C:94:66:D0:1B:CC', '6C:94:66:D0:1B:C8', '50:81:40:9D:92:61']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,ade4af95-15bd-4164-8765-e81a91ad56a8,2025-11-18T06:03:46.29Z,2,AH22ITNB0430,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.45,0,['AAPICO\\kanchanaporn.pr'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AH22ITNB0270,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:35:20.76Z,1.24.02.0000,False,"['6C:94:66:CE:5B:F7', '50:81:40:9D:A5:49', '6C:94:66:CE:5B:F3']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,a502382e-830d-4ba8-8ba2-e1ff32874a90,2025-11-18T07:35:20.76Z,2,AH22ITNB0270,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.7,0,['AAPICO\\mathawee.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AH21ITNB0360,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:50:28.982Z,1.24.02.0000,False,"['34:73:5A:B5:6B:12', 'E8:84:A5:90:69:78', 'E8:84:A5:90:69:74']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,23653352-a5e4-4540-93a3-13e23a7d2580,2025-11-18T07:50:28.982Z,3,AH21ITNB0360,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.47,0,['AAPICO\\siritip.b'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH21ITNB0300,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T08:07:43.303Z,1.24.02.0000,False,"['34:73:5A:B5:6D:3A', '40:1C:83:FA:D6:D3']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,e19f3c69-b922-46b0-8422-7ef8df45b3e7,2025-11-18T08:07:43.303Z,1,AH21ITNB0300,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.20.162,0,,1,1,1
